Name,Region,Zone,Address,Phone,Monthly_schedule,Start_time,End_time,Appointment,Requirements,Distribution_mode,Packaging,Notes,Day,Processed_For_Geocoding,Latitude,Longitude
The St. Lucy Project : The St. Lucy Project,VA, Manassas City, The St. Lucy Project 8426-28 Kao Circle Manassas VA 20110,(703) 991-6940,Every week,09:00 AM,09:00 AM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Thursday || Wednesday,8426-28 Kao Circle Manassas VA 20110,,
Good Success Christian Church : Good Success Christian Church,DC, Ward 7, Good Success Christian Church 4401 Sheriff Rd NE Washington DC 20019,(301) 661-5442,Every week,09:00 AM,12:00 PM,No,"Income,Zip Code","Home Delivery,Walk up",Loose groceries,,Tuesday || Wednesday,4401 Sheriff Rd NE Washington DC 20019,38.9025459,-76.9389824
Cornerstone Peaceful Bible Baptist Church : Cornerstone Peaceful Bible Baptist Church,MD, Prince George's County, Cornerstone Peaceful Bible Baptist Church 9010 Frank Tippett Road Upper Marlboro MD 20772,(240) 346-4169,2nd of the Month,04:30 PM,06:30 PM,No,,"Drive thru,Home Delivery","Loose groceries,Pre-bagged or boxed groceries",,Saturday || Wednesday,9010 Frank Tippett Road Upper Marlboro MD 20772,,
Second Baptist Church of Southwest : Second Baptist Church Southwest,MD, Prince George's County, Second Baptist Church Southwest 5501 Silver Hill Road District Heights MD 20747,(301) 420-2929,2nd of the Month,07:30 AM,11:30 AM,No,Income,Drive thru,"Loose groceries,Pre-bagged or boxed groceries",,Saturday,5501 Silver Hill Road District Heights MD 20747,38.8611099,-76.9018256
Our Savior Lutheran Church : Our Savior Lutheran Church,MD, Prince George's County, Our Savior Lutheran Church 13611 Laurel Bowie Road Laurel MD 20708,(240) 462-8809,2nd of the Month,09:00 AM,11:00 AM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,13611 Laurel Bowie Road Laurel MD 20708,39.0737616,-76.8480253
University of Maryland College Park Foundation : University of Maryland College Park Food Pantry,MD, Prince George's County, University of Maryland College Park Food Pantry 7093 Preinkert Drive College Park MD 20742,(301) 314-8072,Every week,10:00 AM,05:00 PM,Yes,ID,Walk up,Loose groceries,,Friday || Monday || Thursday || Tuesday || Wednesday,7093 Preinkert Drive College Park MD 20742,38.9830927,-76.9436838
Resurrection Bible Church : Resurrection Bible Church,MD, Prince George's County, Resurrection Bible Church 10835 Lanham-Severn Road Glenn Dale MD 20769,(301) 437-4958,2nd of the Month,09:30 AM,11:30 AM,Yes,,"Drive thru,Home Delivery",,Second Saturday of the month and must RSVP,Saturday,10835 Lanham-Severn Road Glenn Dale MD 20769,38.9857004,-76.8215007
Victory Christian Ministries International : Victory Christian Ministries International,MD, Prince George's County, Victory Christian Ministries International 3911 St Barnabas Road Suitland MD 20746,(240) 638-6274,Every week,12:00 PM,01:00 PM,No,ID,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Thursday,3911 St Barnabas Road Suitland MD 20746,38.8360101,-76.9401319
Boat People SOS : Boat People SOS,VA, Fairfax County, Boat People SOS 6066 Leesburg Pike Falls Church VA 22041,(703) 538-2190,Every Other Week,02:00 PM,04:00 PM,No,Income,Walk up,Loose groceries,,Friday,6066 Leesburg Pike Falls Church VA 22041,,
Church of the Resurrection : Church of the Resurrection,VA, City of Alexandria, Church of the Resurrection 5150 Fillmore Ave Alexandria VA 22311,(703) 998-0888,Every week,05:00 PM,06:30 PM,No,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,,Monday,5150 Fillmore Ave Alexandria VA 22311,38.8386847,-77.1177196
ECWA USA Evangelical Church Winning All : ECWA USA Evangelical Church Winning All,MD, Prince George's County, ECWA USA Evangelical Church Winning All 5526 Marlboro Pike District Heights MD 20747,(240) 743-6560,1st of the Month,11:00 AM,01:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Saturday,5526 Marlboro Pike District Heights MD 20747,38.852981,-76.8961706
Reid Temple AME Church : Reid Temple AME Church,MD, Prince George's County, Reid Temple AME Church 11400 Glenn Dale Blvd Glenn Dale MD 20769,(443) 474-3673,3rd of the Month,10:00 AM,12:00 PM,No,,Drive thru,Pre-bagged or boxed groceries,,Saturday,11400 Glenn Dale Blvd Glenn Dale MD 20769,38.984805,-76.81173
NHT Communities : Villages of East River,DC, Ward 7, NHT Communities - Villages of East River 305 37th St SE Washington DC 20019,(202) 621-1617,Every week,11:00 AM,04:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Thursday || Wednesday,305 37th St SE Washington DC 20019,38.8854178,-76.9533367
Columbia Heights Village Tenant Association : Columbia Heights Village Tenant Association,DC, Ward 1, Columbia Heights Village Tenant Association 2900 14th Street NW Suite 110 Washington DC 20009,(202) 390-8580,Every week,12:00 PM,06:00 PM,No,,"Home Delivery,Walk up","Pre-bagged or boxed groceries,Prepared meals",,All || Monday || Thursday || Tuesday || Wednesday,2900 14th Street NW Suite 110 Washington DC 20009,,
Gaithersburg Soup Kitchen : Gaithersburg Soup Kitchen,MD, Montgomery County, Gaithersburg Community Soup Kitchen 9008 Rosemont Drive Gaithersburg MD 20877,(301) 926-0424,Every Other Week,02:30 PM,04:00 PM,Yes,"ID,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday || Monday || Sunday || Thursday || Tuesday || Wednesday,9008 Rosemont Drive Gaithersburg MD 20877,39.1272669,-77.1858704
Centro de Apoyo Familiar (CAF) : Centro de Apoyo Familiar (CAF),VA, Prince William County, Centro de Apoyo Familiar (CAF) 13923 Minnieville Road  Woodbridge VA 22193,(301) 328-3292,Every week,04:30 PM,06:30 PM,No,Income,"Drive thru,Walk up",Loose groceries,,Friday || Saturday,13923 Minnieville Road Woodbridge VA 22193,38.6696168,-77.2861151
Mount Calvary Baptist Church : Mount Calvary Baptist Church,MD, Montgomery County,Carolyn Kennedy Piggott 608 North Horners Lane Rockviille MD 20850,(240) 351-7992,Every week,01:00 PM,Until Food Runs Out,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,"This distribution is operated by Nourish Now, although held at Mt. Calvary Baptist Church.",Thursday || Tuesday,608 North Horners Lane Rockviille MD 20850,,
Bread for the City : Bread for the City SE Center,DC, Ward 8, Bread For The City SE 1700 Good Hope Road SE Washington DC 20020,(202) 773-2308,Every week,09:00 AM,03:00 PM,No,"ID,Zip Code",Walk up,Loose groceries,DC Residents Only,Friday || Monday || Thursday || Tuesday || Wednesday,1700 Good Hope Road SE Washington DC 20020,,
Manna Food Center Inc. : Manna Food Center,MD, Montgomery County, Manna Food Center 9311 Gaither Rd Gaithersburg MD 20877,(240) 268-2539,Every week,06:30 AM,04:00 PM,No,ID,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,9311 Gaither Rd Gaithersburg MD 20877,39.1185452,-77.1920257
"ABSYNA, Inc. : ABSYNA, Inc. - Brentwood",MD, Prince George's County,Esther Jordan 4142 Bunker Hill Rd Brentwood MD 20722,(240) 374-8864,Every week,10:00 AM,05:30 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Only residents of the (7) residential buildings may receive food.,Thursday,4142 Bunker Hill Rd Brentwood MD 20722,38.9396885,-76.9530132
Tutoring Cafe : Tutoring Cafe,DC, Ward 4, Tutoring CafÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â©: Feeding Champions 6906 4th St NW Washington DC 20012,(240) 601-3312,Every Other Week,02:30 PM,03:30 PM,Yes,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Thursday,6906 4th St NW Washington DC 20012,38.9739669,-77.0183635
"So What Else, Inc : So What Else, Inc",MD, Montgomery County,Megan Joe 4924 wyaconda road  Rockville  MD 20852,(240) 705-4345,Every week,10:00 AM,06:00 PM,Yes,,Walk up,Loose groceries,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,4924 wyaconda road Rockville MD 20852,,
Nick's Place : Nick's Place,MD, Prince George's County, Nick's Place 4514 Lincoln Ave Beltsville MD 20705,(301) 938-5876,All,All,All,No,,Walk up,,,All,4514 Lincoln Ave Beltsville MD 20705,39.0489757,-76.9126323
"Ayuda, Inc. : Ayuda, Inc.",DC, Ward 2, Ayuda Inc. 1990 K St. NW Suite 500 Washington DC 20006,(703) 589-4204,3rd of the Month,09:00 AM,03:00 PM,No,ID,Walk up,Loose groceries,,Wednesday,1990 K St. NW Suite 500 Washington DC 20006,,
Mount Olive Baptist Church : Mount Olive Baptist Church,VA, Fairfax County, Mount Olive Baptist Church 6600 Old Centerville Rd n/a Centerville VA 20121,(703) 830-8769,2nd and 4th of the Month,01:00 PM,02:00 PM,No,,Walk up,,,Saturday || Tuesday,6600 Old Centerville Rd n/a Centerville VA 20121,,
St. John's Community Service Center : St. John's Community Service Center,VA, Fairfax County, St. John's Community Service Center 7611 Little River Turnpike Annandale VA 22003,(571) 283-9231,Every week,10:00 AM,04:00 PM,No,,Walk up,,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,7611 Little River Turnpike Annandale VA 22003,38.8322741,-77.2081091
CFH Inc. : CFH Inc.,VA, City of Manassas, CFH Inc. 9021 Centreville Road Manassas VA 20110,(571) 201-6226,Every week,03:00 PM,05:00 PM,No,Zip Code,Walk up,Loose groceries,For Residents of East End Mobile Home Park,Thursday || Tuesday,9021 Centreville Road Manassas VA 20110,38.7590755,-77.4626493
First SDA Church : First SDA Church,DC, Ward 4, First S.D.A Church 810 Shepherd ST NW Washington DC 20011,(202) 997-9663,Every Other Week,12:00 PM,04:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Thursday,810 Shepherd ST NW Washington DC 20011,38.9395617,-77.0236025
True Ground Housing : True Ground Housing,VA, Arlington County, True Ground Housing 4318 N Carlin Springs Road Arlington VA 22203,(571) 733-9627,Every week,10:00 AM,06:00 PM,No,Zip Code,Walk up,Loose groceries,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,4318 N Carlin Springs Road Arlington VA 22203,38.8771464,-77.1123982
Fairfax Church Resource Center : Fairfax Church Resource Center,VA, Fairfax County, Fairfax Church Resource Center 11451 Braddock Road Fairfax VA 22030,(703) 745-1030,Every week,01:00 PM,02:00 PM,Yes,"ID,Income,Zip Code",Home Delivery,Pre-bagged or boxed groceries,,Monday || Sunday || Thursday || Tuesday || Wednesday,11451 Braddock Road Fairfax VA 22030,38.8329264,-77.3397636
DC Central Kitchen : DC Food Project,DC, Ward 4, DC Central Kitchen 3600 Calvert St. NW Washington DC 20007,(202) 400-2806,Every week,07:00 AM,03:00 PM,No,,Walk up,Loose groceries,For students/families only,Friday || Monday || Thursday || Tuesday || Wednesday,3600 Calvert St. NW Washington DC 20007,38.9221431,-77.0712033
Woodbridge Church of the Nazarene : Woodbridge Church of the Nazarene,VA, Prince William County, Woodbridge Church of the Nazarene 14001 Smoketown Road Woodbridge VA 22193,(703) 670-2252,2nd and 4th of the Month,06:30 PM,08:30 PM,No,,Walk up,Loose groceries,,Tuesday,14001 Smoketown Road Woodbridge VA 22193,,
Living Faith Lutheran Church : Living Faith Lutheran Church,MD, Montgomery County, Living Faith Lutheran Church 1605 Veirs Mill Road Rockville MD 20851,(301) 424-8622,Every Other Week,09:00 AM,Until Food Runs Out,No,,Walk up,Pre-bagged or boxed groceries,,Tuesday,1605 Veirs Mill Road Rockville MD 20851,39.0768558,-77.1236242
Mid County United Ministries (MUM) : Mid County United Ministries (MUM),MD, Montgomery County, Mid County United Ministries (MUM) 11002 Viers Mill Road Suite 710 Wheaton MD 20902,(202) 368-5466,Every week,10:00 AM,12:00 PM,No,"ID,Zip Code","Drive thru,Walk up",,"By Appointment Only. We serve zip codes 20902, 20906, 20853, 20895, 20896, 20901, 20910, 20912 & 20783.",Thursday || Wednesday,11002 Viers Mill Road Suite 710 Wheaton MD 20902,,
Greater Refuge Ministries : Greater Refuge Ministries,MD, Prince George's County, Greater Refuge Ministries 9512 Piscataway Road Clinton MD 20735,(301) 856-8806,3rd of the Month,08:30 AM,10:30 AM,No,,Drive thru,"Loose groceries,Pre-bagged or boxed groceries",Appointments can be made by calling Jim,Friday,9512 Piscataway Road Clinton MD 20735,38.7409427,-76.9393445
The Hope Center : The Hope Center,MD, Prince George's County, The Hope Center 4915 Wheeler Rd Oxon Hill MD 20745,(410) 877-4444,1st and 3rd of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,Can call to make an appointment for emergencies,Saturday,4915 Wheeler Rd Oxon Hill MD 20745,38.8217049,-76.9688606
Iglesia Evangelica Cristo Promesa Fiel : Iglesia Evangelica Cristo Promesa Fiel,MD, Montgomery County, Iglesia Evangelica Cristo Promesa Fiel 17017 Georgia Avenue Olney MD 20832,(301) 408-8302,Every week,05:00 PM,08:00 PM,Yes,Zip Code,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Tuesday,17017 Georgia Avenue Olney MD 20832,39.1358094,-77.0696814
DC Doors : DC Doors,DC, Ward 5, DC Doors 900 Rhode Island Ave NW Washington DC 20018,(202) 248-2098,Every week,07:00 AM,10:00 PM,No,,Walk up,Prepared meals,,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,900 Rhode Island Ave NW Washington DC 20018,38.911636,-77.0234149
St. Philip's Episcopal Church : St. Philip's Episcopal Church,MD, Prince George's County, St. Philip's Episcopal Church 522 Main Street Laurel MD 20707,(301) 776-5151,3rd of the Month,09:00 AM,12:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Offers home deliveries too,Sunday,522 Main Street Laurel MD 20707,39.1072638,-76.8516972
Allen Chapel AME Church : Allen Chapel AME Church,DC, Ward 8, Allen Chapel AME Church 2498 Alabama Avenue SE Washington DC 20020,(202) 494-9824,Every week,09:30 AM,12:00 PM,No,ID,Walk up,,,Friday,2498 Alabama Avenue SE Washington DC 20020,38.8568567,-76.9702961
First Baptist Church Ken-Gar : First Baptist Church Ken-Gar,MD, Montgomery County, First Baptist Church Ken-Gar 3922 Hampden St Kensington MD 20895,(917) 364-1681,3rd of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday || Wednesday,3922 Hampden St Kensington MD 20895,39.0315438,-77.079779
Oak Chapel UMC : Oak Chapel UMC,MD, Montgomery County, Oak Chapel UMC 14500 Layhill Road Silver Spring MD 20906,(240) 277-4426,3rd of the Month,10:00 AM,12:00 PM,No,Zip Code,Walk up,Pre-bagged or boxed groceries,20906 is the permitted zipcode,Saturday || Thursday || Wednesday,14500 Layhill Road Silver Spring MD 20906,,
Revival Baptist Ministries INT : Revival Baptist Ministries INT,VA, Fairfax County, Revival Baptist Ministries INT 8174 Richmond Hwy Alexandria VA 22309,(703) 944-3057,2nd of the Month,07:00 AM,09:00 AM,No,Income,Walk up,Loose groceries,,Saturday,8174 Richmond Hwy Alexandria VA 22309,38.7926156,-77.056737
Largo Community Church : International High School at Largo,MD, Prince George's County, Largo Community Church 505 Largo Rd SW Side Upper Marlboro MD 20774,(301) 702-3810 ext 84137,4th of the Month,03:00 PM,06:00 AM,No,,Walk up,Pre-bagged or boxed groceries,Limited to families of the IHS at Largo,Thursday,505 Largo Rd SW Side Upper Marlboro MD 20774,,
River of Life Redeemed Christian Church of God : River of Life Redeemed Christian Church of God,MD, Prince George's County, River of Life Redeemed Christian Church of God 5617 54th Ave. Riverdale MD 20737,(301) 779-4605,Every Other Week,04:30 PM,Until Food Runs Out,No,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Wednesday,5617 54th Ave. Riverdale MD 20737,38.9590389,-76.9226731
First Baptist Church of Silver Spring Food Closet : First Baptist Church of Silver Spring Food Closet,MD, Montgomery County, First Baptist Church of Silver Spring Food Closet 828 Wayne Ave Silver Spring MD 20910,(301) 466-8263,Every week,10:00 AM,12:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Saturday,828 Wayne Ave Silver Spring MD 20910,38.9965219,-77.022546
NHT Communities : Washington View Apartments,DC, Ward 8, NHT Communities 2629 Douglass Rd SE Washington DC DC 20020,(202) 621-1600,1st and 4th of the Month,12:00 PM,01:00 PM,No,,Walk up,Loose groceries,,Saturday,2629 Douglass Rd SE Washington DC DC 20020,,
Holy Family Catholic Church Food Pantry : Holy Family Catholic Church Food Pantry,VA, Prince William County, Holy Family Catholic Church Food Pantry 14160 Ferndale Road Dale City VA 22193,(703) 459-7156,Every week,04:00 PM,05:30 PM,No,,Walk up,Pre-bagged or boxed groceries,,Monday || Wednesday,14160 Ferndale Road Dale City VA 22193,,
Sacred Heart Catholic Church : Sacred Heart Catholic Church,VA, Prince William County, Sacred Heart Catholic Church 12975 Purcell Road Manassas VA 20112,(703) 590-0030,Every week,08:00 AM,09:30 AM,No,,Walk up,Pre-bagged or boxed groceries,,Saturday,12975 Purcell Road Manassas VA 20112,,
Manassas Baptist Church : Manassas Baptist Church,VA, City of Manassas, Manassas Baptist Church 8730 Sudley Road Manassas VA 20110,(703) 361-2146,1st and 3rd of the Month,05:00 PM,08:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Wednesday,8730 Sudley Road Manassas VA 20110,38.7655604,-77.4838595
INOVA Cares for Women and Children Falls Church : Inova Cares Clinics,VA, Fairfax County, INOVA Cares for Women and Children Falls Church 6400 Arlington Blvd Falls Church VA 22042,(703) 698-2552,Every week,08:00 AM,04:30 PM,No,Income,Other,Pre-bagged or boxed groceries,Must be a patient,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,6400 Arlington Blvd Falls Church VA 22042,38.8664339,-77.1943382
Love Church : Love Church,VA, Prince William County, Love Church 14370 Lee Highway Suite 105 Gainesville VA 20155,,1st of the Month,12:00 PM,02:00 PM,No,,Walk up,Loose groceries,,Thursday || Tuesday,14370 Lee Highway Suite 105 Gainesville VA 20155,,
"Food for the Elderly, Inc. : Tender Love & Care",MD, Prince George's County, Tender Love & Care 822 Cox Ave Hyattsville MD 20783,(301) 440-8990,Every week,08:00 AM,05:30 AM,No,Income,"Drive thru,Walk up",,,All,822 Cox Ave Hyattsville MD 20783,38.9656228,-76.9933894
