Name,Agency Region,County/Ward,Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Distribution Models,Food Format ,Additional Note on Hours of Operations,Original_Address,Processed_For_Geocoding,Latitude,Longitude
St. Joseph Catholic Church : St. Joseph Catholic Church,MD,MD Prince George's County,Attn: St. Joseph Catholic Church 2020 St Joseph Drive  Largo MD 20774,(301) 773-0102,Saturday,3rd of the Month,11:00 AM,12:00 PM,Yes,Income,Drive thru,Loose groceries,"Emergency food is available after hours. Must call to arrange a pickup at 301-773-4838, ext. 13.",Attn: St. Joseph Catholic Church 2020 St Joseph Drive  Largo MD 20774,2020 St Joseph Drive Largo MD 20774,,
"SEED Inc. : Sowing Empowerment & Economic Development, Inc.",MD,MD Prince George's County,"Attn: Sowing Empowerment & Economic Development, Inc. 5819 Eastpine Dr Riverdale MD 20737",(301) 458-9808,Wednesday,Every week,12:00 PM,02:30 PM,No,ID,,,Bring bags,"Attn: Sowing Empowerment & Economic Development, Inc. 5819 Eastpine Dr Riverdale MD 20737",5819 Eastpine Dr Riverdale MD 20737,38.9583116,-76.9065907
"Church of the Incarnation, St. Vincent De Paul Society : Church of the Incarnation, St. Vincent De Paul Society",DC,DC Ward 7,"Attn: Church of the Incarnation, St. Vincent De Paul Society 880 Eastern Ave  NE Washington DC 20019",(301) 728-3134,Tuesday,3rd of the Month,11:00 AM,02:00 PM,No,"ID,Income",Walk up,Pre-bagged or boxed groceries,,"Attn: Church of the Incarnation, St. Vincent De Paul Society 880 Eastern Ave  NE Washington DC 20019",880 Eastern Ave NE Washington DC 20019,38.9070891,-76.9275424
Capital Christian Fellowship : Capital Christian Fellowship,MD,MD Prince George's County,Attn: Capital Christian Fellowship 10411 Greenbelt Rd  Lanham MD 20706,,Sunday,Every week,12:00 PM,12:30 PM,No,,Walk up,Loose groceries,,Attn: Capital Christian Fellowship 10411 Greenbelt Rd  Lanham MD 20706,10411 Greenbelt Rd Lanham MD 20706,,
Grace Ministries - Culmore : Grace Ministries - Culmore,VA,VA Fairfax County,Attn: Grace Ministries - Culmore 5901 Leesburg Pike Falls Church VA 22041,(703) 220-5907,Friday,1st of the Month,04:00 PM,06:00 PM,No,,,,,Attn: Grace Ministries - Culmore 5901 Leesburg Pike Falls Church VA 22041,5901 Leesburg Pike Falls Church VA 22041,,
Divine Grace Mission : Divine Grace Mission,MD,MD Prince George's County,Attn: Divine Grace Mission 4208 Glenn Dale Rd Bowie MD 20720,(240) 460-0842,Saturday,3rd of the Month,10:30 AM,02:00 PM,No,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Attn: Divine Grace Mission 4208 Glenn Dale Rd Bowie MD 20720,4208 Glenn Dale Rd Bowie MD 20720,,
Divine Grace Mission : Divine Grace Mission,MD,MD Prince George's County,Attn: Divine Grace Mission 4208 Glenn Dale Rd Bowie MD 20720,(240) 460-0842,Saturday,1st of the Month,10:30 AM,02:00 PM,No,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Attn: Divine Grace Mission 4208 Glenn Dale Rd Bowie MD 20720,4208 Glenn Dale Rd Bowie MD 20720,,
Bull Run Unitarian Universalists : Bull Run Unitarian Universalists,VA,VA Manassas City,Attn: Bull Run Unitarian Universalists 9350 Main Street Manassas VA 20110,(703) 361-6269,Tuesday,2nd and 4th of the Month,09:30 AM,11:30 AM,Yes,,Walk up,Loose groceries,,Attn: Bull Run Unitarian Universalists 9350 Main Street Manassas VA 20110,9350 Main Street Manassas VA 20110,38.7516111,-77.4720402
St. Thomas United Methodist Church : St. Thomas United Methodist Church,VA,VA Manassas City,Attn: St. Thomas United Methodist Church 8899 Sudley Road Manassas VA 20110,(703) 368-5161,Saturday,Every week,09:00 AM,11:00 AM,No,,,,If you are in line by 11AM you will get food that day!,Attn: St. Thomas United Methodist Church 8899 Sudley Road Manassas VA 20110,8899 Sudley Road Manassas VA 20110,38.7637627,-77.4783669
RCCG New Wine Assembly : RCCG New Wine Assembly,DC,DC Ward 7,Attn: RCCG New Wine Assembly 1625 Olive Street NE Washington DC 20019,(202) 398-2211,Saturday,2nd and 4th of the Month,10:00 AM,12:00 PM,No,,,,,Attn: RCCG New Wine Assembly 1625 Olive Street NE Washington DC 20019,1625 Olive Street NE Washington DC 20019,38.9104865,-76.9334733
National Baptist Memorial Church : National Baptist Memorial Church,DC,DC Ward 1,Attn: National Baptist Memorial Church 1501 Columbia Rd NW Washington DC 20009,(202) 841-3742,Saturday,2nd and 4th of the Month,09:00 AM,12:00 PM,No,,Walk up,Loose groceries,,Attn: National Baptist Memorial Church 1501 Columbia Rd NW Washington DC 20009,1501 Columbia Rd NW Washington DC 20009,38.9270507,-77.0359884
St. Paul's Lutheran Church : St. Paul's Lutheran Church,DC,DC Ward 3,Attn: St. Paul's Lutheran Church 4900 Connecticut Ave NW  Washington DC  20008,(202) 966-5489,Saturday,1st and 3rd of the Month,10:00 AM,12:00 PM,No,,Walk up,Loose groceries,,Attn: St. Paul's Lutheran Church 4900 Connecticut Ave NW  Washington DC  20008,4900 Connecticut Ave NW Washington DC 20008,38.954414,-77.069584
Little David Baptist Church : Little David Baptist Church,MD,MD Prince George's County,Attn: Little David Baptist Church 3103 Shepherd Street Mount Rainier MD 20712,(301) 927-5565,Sunday,Every Other Week,09:30 AM,11:00 AM,Yes,,Walk up,Loose groceries,,Attn: Little David Baptist Church 3103 Shepherd Street Mount Rainier MD 20712,3103 Shepherd Street Mount Rainier MD 20712,38.9395435,-76.9636211
Little David Baptist Church : Little David Baptist Church,MD,MD Prince George's County,Attn: Little David Baptist Church 3103 Shepherd Street Mount Rainier MD 20712,(301) 927-5565,Friday,Every Other Week,11:00 AM,01:00 PM,No,,Walk up,Loose groceries,,Attn: Little David Baptist Church 3103 Shepherd Street Mount Rainier MD 20712,3103 Shepherd Street Mount Rainier MD 20712,38.9395435,-76.9636211
Mt. Ennon Baptist Church : Mount Ennon Baptist Church,MD,MD Prince George's County,Attn: Mount Ennon Baptist Church 9832 Piscataway Road Clinton MD 20735,(240) 599-6424,Tuesday,,11:00 AM,02:00 PM,No,,,,,Attn: Mount Ennon Baptist Church 9832 Piscataway Road Clinton MD 20735,9832 Piscataway Road Clinton MD 20735,38.7537896,-76.9223848
Mt. Ennon Baptist Church : Mount Ennon Baptist Church,MD,MD Prince George's County,Attn: Mount Ennon Baptist Church 9832 Piscataway Road Clinton MD 20735,(240) 599-6424,Saturday,3rd of the Month,10:00 AM,12:00 PM,No,"ID,Income,Zip Code",,,,Attn: Mount Ennon Baptist Church 9832 Piscataway Road Clinton MD 20735,9832 Piscataway Road Clinton MD 20735,38.7537896,-76.9223848
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA,VA Fairfax County,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Monday,Every week,09:00 AM,12:30 PM,No,Zip Code,,,Must live in service area.  Call to check,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",6037 Franconia Road Alexandria VA 22310,,
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA,VA Fairfax County,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Wednesday,Every week,09:00 AM,12:30 PM,Yes,Zip Code,,,Must live in service area. Call to check,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",6037 Franconia Road Alexandria VA 22310,,
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA,VA Fairfax County,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Friday,Every week,09:00 AM,12:30 PM,Yes,Zip Code,,,Must live in service area. Call to check.,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",6037 Franconia Road Alexandria VA 22310,,
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA,VA Fairfax County,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Tuesday,Every week,09:00 AM,12:30 PM,No,Zip Code,,,Must live in service area.  Call to check.,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",6037 Franconia Road Alexandria VA 22310,,
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA,VA Fairfax County,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Thursday,Every week,09:00 AM,04:30 PM,Yes,Zip Code,,,Must live in service area. Call to check,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",6037 Franconia Road Alexandria VA 22310,,
"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",VA,VA Fairfax County,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",(703) 469-7354,Saturday,2nd of the Month,09:00 AM,12:30 PM,Yes,Zip Code,,,Must live in service area. Call to check.,"Attn: Koinonia Foundation, Inc. 6037 Franconia Road Alexandria VA 22310",6037 Franconia Road Alexandria VA 22310,,
Marlboro Churches Food Bank : Marlboro Churches Food Bank,MD,MD Prince George's County,Attn: Marlboro Churches Food Bank 4610 Largo Rd. Upper Marlboro MD 20772,(240) 447-8712,Saturday,2nd of the Month,07:00 AM,09:00 AM,No,,"Drive thru,Home Delivery,Walk up",Prepared meals,,Attn: Marlboro Churches Food Bank 4610 Largo Rd. Upper Marlboro MD 20772,4610 Largo Rd. Upper Marlboro MD 20772,,
Iglesia Pentecostal Trono de Jehova : Iglesia Pentecostal Trono de Jehova,VA,VA Prince William County,Attn: Iglesia Pentecostal Trono de Jehova 2260 York Drive Woodbridge VA 22191,(703) 501-2559,Friday,,06:00 PM,07:30 PM,No,,,,,Attn: Iglesia Pentecostal Trono de Jehova 2260 York Drive Woodbridge VA 22191,2260 York Drive Woodbridge VA 22191,38.65418,-77.279687
Our Lady Queen of Peace Church : Our Lady Queen of Peace Church,VA,VA Arlington County,Attn: Our Lady Queen of Peace Church 2700 19th Street South Arlington VA 22204,(703) 979-5580,Wednesday,Every week,08:30 AM,11:30 AM,No,,"Home Delivery,Walk up",Loose groceries,,Attn: Our Lady Queen of Peace Church 2700 19th Street South Arlington VA 22204,2700 19th Street South Arlington VA 22204,38.8541288,-77.0831513
"Emory Beacon of Light, Inc. : Emory Beacon of Light, Inc.",DC,DC Ward 4,"Attn: Emory Beacon of Light, Inc. 6100 Georgia Avenue NW  Washington  DC 20011",,Tuesday,Every week,12:00 PM,02:00 PM,Yes,,"Home Delivery,Walk up",Loose groceries,,"Attn: Emory Beacon of Light, Inc. 6100 Georgia Avenue NW  Washington  DC 20011",6100 Georgia Avenue NW Washington DC 20011,38.9641578,-77.0281926
Sterling United Methodist Church : Sterling United Methodist Church,VA,**Outside CAFB Service Area**,Attn: Sterling United Methodist Church 304 East Church Road Sterling VA 20164,(703) 430-6455,Saturday,2nd of the Month,07:30 AM,11:00 AM,No,Income,"Drive thru,Walk up",,,Attn: Sterling United Methodist Church 304 East Church Road Sterling VA 20164,304 East Church Road Sterling VA 20164,39.0078829,-77.3928168
St. Anne's Episcopal Church ( Food Pantry) : St. Anne's Episcopal Church ( Food Pantry),VA,VA Fairfax County,Attn: St. Anne's Episcopal Church ( Food Pantry) 1700 Wainwright Drive Reston VA 20190,(925) 323-7084,Thursday,3rd of the Month,11:30 AM,01:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Attn: St. Anne's Episcopal Church ( Food Pantry) 1700 Wainwright Drive Reston VA 20190,1700 Wainwright Drive Reston VA 20190,,
New Macedonia Baptist Church : New Macedonia Baptist Church,DC,DC Ward 7,Attn: New Macedonia Baptist Church 4115 Alabama Ave SE  Washington DC 20019,,Wednesday,Every week,09:00 AM,11:00 AM,No,,Drive thru,Loose groceries,,Attn: New Macedonia Baptist Church 4115 Alabama Ave SE  Washington DC 20019,4115 Alabama Ave SE Washington DC 20019,38.8706096,-76.9422796
New Samaritan Baptist Church : New Samaritan Baptist Church,DC,DC Ward 6,Attn: New Samaritan Baptist Church 1100 Florida Ave NE Washington DC 20002,(202) 397-1870,Wednesday,2nd and 4th of the Month,10:00 AM,01:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,"We provide clothing and a small portion of food on the 3rd Saturday of each month starting on 10/19/2024 hours are 10:00am- 12noon at the AGAPE Clothes and Food Pantry. The location is 1105 Florida Avenue, N.E .Washington, DC 20002",Attn: New Samaritan Baptist Church 1100 Florida Ave NE Washington DC 20002,1100 Florida Ave NE Washington DC 20002,38.9036929,-76.9915544
Greater Morning Star Apostolic Church : Greater Morning Star Apostolic Church,VA,VA Fairfax County,"James V. Myers, JR 7929 Richmond Highway Alexandria VA 22306-",(913) 290-0606,Friday,Every week,10:00 AM,04:00 PM,No,,Walk up,Loose groceries,,"James V. Myers, JR 7929 Richmond Highway Alexandria VA 22306-",7929 Richmond Highway Alexandria VA 22306-,38.7926156,-77.056737
Royal Missionary Baptist Church : Royal Missionary Baptist Church,VA,VA Fairfax County,Attn: Royal Missionary Baptist Church 8631 Engleside Office Park Alexandria VA 22309,(571) 481-1896,Saturday,Every week,08:00 AM,01:00 PM,No,Income,"Home Delivery,Walk up",Loose groceries,,Attn: Royal Missionary Baptist Church 8631 Engleside Office Park Alexandria VA 22309,8631 Engleside Office Park Alexandria VA 22309,,
Royal Missionary Baptist Church : Royal Missionary Baptist Church,VA,VA Fairfax County,Attn: Royal Missionary Baptist Church 8631 Engleside Office Park Alexandria VA 22309,(571) 481-1896,Sunday,Every week,01:00 PM,02:30 PM,No,Income,"Home Delivery,Walk up",Loose groceries,,Attn: Royal Missionary Baptist Church 8631 Engleside Office Park Alexandria VA 22309,8631 Engleside Office Park Alexandria VA 22309,,
Prince Emmanuel All Nations SDA Church : Prince Emmanuel All Nations SDA Church,MD,MD Prince George's County,Attn: Prince Emmanuel All Nations SDA Church 1925 Mitchellville Rd Bowie MD 20716,(301) 648-4884,Sunday,4th of the Month,01:00 PM,03:00 PM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",provides walk up and home delivery distribution,Attn: Prince Emmanuel All Nations SDA Church 1925 Mitchellville Rd Bowie MD 20716,1925 Mitchellville Rd Bowie MD 20716,38.9156728,-76.7216523
St. Stephen's Baptist Church : St. Stephen's Baptist Church,MD,MD Prince George's County,Attn: St. Stephen's Baptist Church 5757 Temple Hill Road Camp Springs MD 20748,(240) 350-8132,Tuesday,Every week,11:00 AM,03:00 PM,No,"Income,Zip Code",Drive thru,Loose groceries,,Attn: St. Stephen's Baptist Church 5757 Temple Hill Road Camp Springs MD 20748,5757 Temple Hill Road Camp Springs MD 20748,38.8040834,-76.9332718
Breath of Life SDA Church : Breath of Life SDA Church,MD,MD Prince George's County,Attn: Breath of Life SDA Church 11310 Fort Washington Road Fort Washington MD 20744,(301) 292-2100,Wednesday,2nd of the Month,09:30 AM,05:00 PM,No,"ID,Zip Code",Drive thru,Loose groceries,,Attn: Breath of Life SDA Church 11310 Fort Washington Road Fort Washington MD 20744,11310 Fort Washington Road Fort Washington MD 20744,38.7396063,-77.0000327
Apostolic Church Glorious Vision : Apostolic Church Glorious Vision,MD,MD Prince George's County,Attn: Apostolic Church Glorious Vision 3004 Enterprise Road Bowie MD 20721,(757) 275-3905,Saturday,2nd and 4th of the Month,10:00 AM,07:00 PM,No,Zip Code,,,,Attn: Apostolic Church Glorious Vision 3004 Enterprise Road Bowie MD 20721,3004 Enterprise Road Bowie MD 20721,,
Bethesda Help : Bethesda Help,MD,MD Montgomery County,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,(301) 928-4078,Wednesday,Every week,09:00 AM,04:30 PM,Yes,"ID,Zip Code",Home Delivery,Pre-bagged or boxed groceries,Clients must call to request food.  Drivers will deliver food within 48 hours,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,10100 Old Georgetown Road Bethesda MD 20814,38.9991552,-77.1094888
Bethesda Help : Bethesda Help,MD,MD Montgomery County,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,(301) 928-4078,Monday,Every week,09:00 AM,04:30 PM,Yes,"ID,Zip Code",Home Delivery,Pre-bagged or boxed groceries,Clients must call to request food.  Drivers will deliver food within 48 hours,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,10100 Old Georgetown Road Bethesda MD 20814,38.9991552,-77.1094888
Bethesda Help : Bethesda Help,MD,MD Montgomery County,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,(301) 928-4078,Thursday,Every week,09:00 AM,04:30 PM,Yes,"ID,Zip Code",Home Delivery,Pre-bagged or boxed groceries,Clients must call to request food.  Drivers will deliver food within 48 hours,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,10100 Old Georgetown Road Bethesda MD 20814,38.9991552,-77.1094888
Bethesda Help : Bethesda Help,MD,MD Montgomery County,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,(301) 928-4078,Tuesday,Every week,09:00 AM,04:30 PM,Yes,"ID,Zip Code",Home Delivery,Pre-bagged or boxed groceries,Clients must call to request food.  Drivers will delivery food within 48 hours,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,10100 Old Georgetown Road Bethesda MD 20814,38.9991552,-77.1094888
Bethesda Help : Bethesda Help,MD,MD Montgomery County,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,(301) 928-4078,Friday,Every week,09:00 AM,04:30 PM,Yes,"ID,Zip Code",Home Delivery,Pre-bagged or boxed groceries,Clients must call to request food.  Drivers will deliver food within 48 hours,Attn: Bethesda Help 10100 Old Georgetown Road Bethesda MD 20814,10100 Old Georgetown Road Bethesda MD 20814,38.9991552,-77.1094888
Turner AME Church : Turner AME Church,MD,MD Prince George's County,Attn: Turner AME 7201 16th Place Hyattsville MD 20783,(240) 417-6012,Friday,Every Other Week,12:00 PM,02:00 PM,No,,,,,Attn: Turner AME 7201 16th Place Hyattsville MD 20783,7201 16th Place Hyattsville MD 20783,,
St. Jude Catholic Church : St. Jude Catholic Church,MD,MD Montgomery County,Attn: St. Jude Catholic Church 12701 Veirs Mill Rockville MD 20853,,Saturday,Every week,08:00 AM,09:30 AM,No,"ID,Zip Code",,,,Attn: St. Jude Catholic Church 12701 Veirs Mill Rockville MD 20853,12701 Veirs Mill Rockville MD 20853,39.0737472,-77.1124428
